web-scraper-order,web-scraper-start-url,category,category-href,name
"1607097278-260","https://trello.com/templates","Educación","https://trello.com/templates/education","Language Learning Template"
"1607097283-273","https://trello.com/templates","Diseño","https://trello.com/templates/design","Design System Checklist"
"1607097268-216","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Agile Marketing"
"1607097268-213","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Marketing Requests"
"1607097268-234","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Social Media Marketing Board"
"1607097273-237","https://trello.com/templates","Ingeniería","https://trello.com/templates/engineering","Agile Sprint Board"
"1607097278-255","https://trello.com/templates","Educación","https://trello.com/templates/education","Learn A Language"
"1607097208-86","https://trello.com/templates","Gestión de equipos","https://trello.com/templates/team-management","Team Organization Central"
"1607097278-262","https://trello.com/templates","Educación","https://trello.com/templates/education","Syllabus Template"
"1607097278-263","https://trello.com/templates","Educación","https://trello.com/templates/education","Weekly Classroom Newsletter"
"1607097263-208","https://trello.com/templates","RR. HH. y operaciones","https://trello.com/templates/operations-hr","Onboarding Process For New Hires"
"1607097242-114","https://trello.com/templates","Gestión de proyectos","https://trello.com/templates/project-management","Project Management"
"1607097288-285","https://trello.com/templates","Negocio","https://trello.com/templates/business","Lean Canvas"
"1607097258-192","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Travel Planning Template"
"1607097288-289","https://trello.com/templates","Negocio","https://trello.com/templates/business","Change Management Workflow Tool"
"1607097263-203","https://trello.com/templates","RR. HH. y operaciones","https://trello.com/templates/operations-hr","A Halloween Hiring & Recruiting"
"1607097268-223","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Editorial Calendar"
"1607097222-107","https://trello.com/templates","Ventas","https://trello.com/templates/sales","Sales Pipeline"
"1607097263-202","https://trello.com/templates","RR. HH. y operaciones","https://trello.com/templates/operations-hr","30 60 90 Day Plan Template"
"1607097258-157","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Budget Template"
"1607097273-236","https://trello.com/templates","Ingeniería","https://trello.com/templates/engineering","Web Development"
"1607097258-180","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Plan Your Life"
"1607097208-89","https://trello.com/templates","Gestión de equipos","https://trello.com/templates/team-management","Weekly Team Meetings"
"1607097258-185","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Self Care (Daily)"
"1607097258-191","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Travel Planning"
"1607097278-254","https://trello.com/templates","Educación","https://trello.com/templates/education","Project Based Learning"
"1607097208-85","https://trello.com/templates","Gestión de equipos","https://trello.com/templates/team-management","Team Icebreaker: Surviving the Apocalypse"
"1607097258-167","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Goal Setting Basics"
"1607097222-97","https://trello.com/templates","Ventas","https://trello.com/templates/sales","Customer Onboarding"
"1607097258-152","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","The Home Workout Organizer"
"1607097258-198","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Yoga Flow Creator"
"1607097247-136","https://trello.com/templates","Gestión de productos","https://trello.com/templates/product-management","The PM Skills Assessment by Marty Cagan (SVPG.com)"
"1607097233-108","https://trello.com/templates","Trabajo a distancia","https://trello.com/templates/remote-work","Remote Team Hub"
"1607097288-294","https://trello.com/templates","Negocio","https://trello.com/templates/business","Pitch Deck"
"1607097242-119","https://trello.com/templates","Gestión de proyectos","https://trello.com/templates/project-management","Simple Project Board"
"1607097217-94","https://trello.com/templates","Asistencia","https://trello.com/templates/support","Enterprise Feature Requests"
"1607097273-241","https://trello.com/templates","Ingeniería","https://trello.com/templates/engineering","Game Development Template"
"1607097242-121","https://trello.com/templates","Gestión de proyectos","https://trello.com/templates/project-management","Agile Board"
"1607097208-84","https://trello.com/templates","Gestión de equipos","https://trello.com/templates/team-management","Team Focus Board"
"1607097258-166","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Find Your Passion in Life"
"1607097288-287","https://trello.com/templates","Negocio","https://trello.com/templates/business","Business Model Canvas"
"1607097268-224","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Editorial Workflow"
"1607097268-225","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Email Workflow"
"1607097208-87","https://trello.com/templates","Gestión de equipos","https://trello.com/templates/team-management","Team Retrospectives With Post-itⓇ + Trello"
"1607097242-120","https://trello.com/templates","Gestión de proyectos","https://trello.com/templates/project-management","IT Project Workflow"
"1607097217-95","https://trello.com/templates","Asistencia","https://trello.com/templates/support","Service Desk - Incident Impact Analysis"
"1607097268-211","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Speaker guide for online events"
"1607097283-274","https://trello.com/templates","Diseño","https://trello.com/templates/design","Freelance Branding Project"
"1607097258-178","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","New Year's Resolutions"
"1607097273-249","https://trello.com/templates","Ingeniería","https://trello.com/templates/engineering","Tability's Public Start Up Roadmap"
"1607097273-235","https://trello.com/templates","Ingeniería","https://trello.com/templates/engineering","Kanban Template"
"1607097283-275","https://trello.com/templates","Diseño","https://trello.com/templates/design","Heuristic Evaluation"
"1607097263-206","https://trello.com/templates","RR. HH. y operaciones","https://trello.com/templates/operations-hr","Inventory Management powered by Smart Fields"
"1607097263-200","https://trello.com/templates","RR. HH. y operaciones","https://trello.com/templates/operations-hr","Government Onboarding Process For New Hires"
"1607097273-246","https://trello.com/templates","Ingeniería","https://trello.com/templates/engineering","Software Engineering Career Design"
"1607097242-115","https://trello.com/templates","Gestión de proyectos","https://trello.com/templates/project-management","Eisenhower Matrix Task Board"
"1607097258-163","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Discover the best of Rome in 48 hours"
"1607097258-164","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Dream Builder Goals Template Board"
"1607097278-264","https://trello.com/templates","Educación","https://trello.com/templates/education","Weekly Music Lesson Template"
"1607097258-153","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Guided Gratitude Practice"
"1607097222-104","https://trello.com/templates","Ventas","https://trello.com/templates/sales","Real Estate Organization"
"1607097208-69","https://trello.com/templates","Gestión de equipos","https://trello.com/templates/team-management","DACI Decision Making Framework"
"1607097252-144","https://trello.com/templates","Productividad","https://trello.com/templates/productivity","Annual Life Goals & Planning"
"1607097258-169","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Groceries Template"
"1607097288-283","https://trello.com/templates","Negocio","https://trello.com/templates/business","Company Overview"
"1607097258-155","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Apartment Search Template"
"1607097283-270","https://trello.com/templates","Diseño","https://trello.com/templates/design","Character Setup"
"1607097252-150","https://trello.com/templates","Productividad","https://trello.com/templates/productivity","Productivity Workflow"
"1607097258-162","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Discover the best of Paris in 48 hours"
"1607097258-165","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Family Adventure Board"
"1607097268-226","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Figuring Out Your Podcast Idea"
"1607097283-267","https://trello.com/templates","Diseño","https://trello.com/templates/design","Research Iteration"
"1607097288-284","https://trello.com/templates","Negocio","https://trello.com/templates/business","Grant Tracking Template"
"1607097258-186","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Setlist Organizer"
"1607097283-268","https://trello.com/templates","Diseño","https://trello.com/templates/design","Design Sprint"
"1607097278-252","https://trello.com/templates","Educación","https://trello.com/templates/education","Academic Literature Review"
"1607097233-113","https://trello.com/templates","Trabajo a distancia","https://trello.com/templates/remote-work","Work From Home Daily Planner"
"1607097268-230","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Marketing Overview"
"1607097268-221","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Copywriting"
"1607097268-232","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Publishing Process"
"1607097242-128","https://trello.com/templates","Gestión de proyectos","https://trello.com/templates/project-management","Scientific Research Project (Template)"
"1607097273-240","https://trello.com/templates","Ingeniería","https://trello.com/templates/engineering","Game Development"
"1607097258-193","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Wedding Party"
"1607097242-125","https://trello.com/templates","Gestión de proyectos","https://trello.com/templates/project-management","Managing Translations"
"1607097258-179","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Personal Workflow Board"
"1607097252-146","https://trello.com/templates","Productividad","https://trello.com/templates/productivity","Getting Things Done - GTD"
"1607097208-80","https://trello.com/templates","Gestión de equipos","https://trello.com/templates/team-management","Offsite Planning"
"1607097283-266","https://trello.com/templates","Diseño","https://trello.com/templates/design","Game Design Template"
"1607097268-218","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Blog Content Schedule"
"1607097263-209","https://trello.com/templates","RR. HH. y operaciones","https://trello.com/templates/operations-hr","Post A Job [Hiring Process]"
"1607097278-250","https://trello.com/templates","Educación","https://trello.com/templates/education","Remote Class Template"
"1607097258-174","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Meal Planning Board"
"1607097208-75","https://trello.com/templates","Gestión de equipos","https://trello.com/templates/team-management","Collaboration Board"
"1607097242-122","https://trello.com/templates","Gestión de proyectos","https://trello.com/templates/project-management","Business Tax Preparation Workflow"
"1607097268-215","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Scalify Marketing Process Template"
"1607097258-158","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Christmas Planner"
"1607097258-181","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Reader Manager"
"1607097252-149","https://trello.com/templates","Productividad","https://trello.com/templates/productivity","Productivity Template"
"1607097222-102","https://trello.com/templates","Ventas","https://trello.com/templates/sales","Customer Success Board"
"1607097283-277","https://trello.com/templates","Diseño","https://trello.com/templates/design","Photography Order Production Tracking"
"1607097258-159","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Commission Queue for Artists"
"1607097288-295","https://trello.com/templates","Negocio","https://trello.com/templates/business","Team Goal Setting Central"
"1607097242-130","https://trello.com/templates","Gestión de proyectos","https://trello.com/templates/project-management","UNICEF Global Innovation Centre"
"1607097208-82","https://trello.com/templates","Gestión de equipos","https://trello.com/templates/team-management","Staff Scheduling"
"1607097222-98","https://trello.com/templates","Ventas","https://trello.com/templates/sales","Bike Repair Pipeline"
"1607097278-251","https://trello.com/templates","Educación","https://trello.com/templates/education","Homeschool Trello Template"
"1607097258-173","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Lifestyle Goals (Living Room Remodel)"
"1607097208-78","https://trello.com/templates","Gestión de equipos","https://trello.com/templates/team-management","Meeting Agenda Template"
"1607097208-73","https://trello.com/templates","Gestión de equipos","https://trello.com/templates/team-management","Government Meeting Agenda"
"1607097258-194","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Wedding Planning"
"1607097258-184","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Remote Cooking Challenge"
"1607097217-92","https://trello.com/templates","Asistencia","https://trello.com/templates/support","Customer Support"
"1607097222-101","https://trello.com/templates","Ventas","https://trello.com/templates/sales","Contract Review"
"1607097258-177","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","My Climate Action Plan (MyCAP)"
"1607097252-151","https://trello.com/templates","Productividad","https://trello.com/templates/productivity","Timed Effort Planner"
"1607097258-196","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","White Elephant!"
"1607097258-190","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Travel Packing Checklist"
"1607097217-96","https://trello.com/templates","Asistencia","https://trello.com/templates/support","Support Ticket Management"
"1607097268-229","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Marketing Master Editorial Calendar"
"1607097208-88","https://trello.com/templates","Gestión de equipos","https://trello.com/templates/team-management","Team Tasks - 5 Things Workflow"
"1607097268-214","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Inbound Marketing Campaign Template"
"1607097278-258","https://trello.com/templates","Educación","https://trello.com/templates/education","Academic Publishing Tracker"
"1607097278-259","https://trello.com/templates","Educación","https://trello.com/templates/education","Academic Research Degree Application Tracker"
"1607097242-116","https://trello.com/templates","Gestión de proyectos","https://trello.com/templates/project-management","Government Project Management"
"1607097283-280","https://trello.com/templates","Diseño","https://trello.com/templates/design","Research Project"
"1607097242-117","https://trello.com/templates","Gestión de proyectos","https://trello.com/templates/project-management","Premortem"
"1607097283-282","https://trello.com/templates","Diseño","https://trello.com/templates/design","Web Design | Development"
"1607097247-132","https://trello.com/templates","Gestión de productos","https://trello.com/templates/product-management","5 Product Management Buckets"
"1607097268-222","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Creative Content Workflow"
"1607097217-91","https://trello.com/templates","Asistencia","https://trello.com/templates/support","Customer Success Management"
"1607097263-201","https://trello.com/templates","RR. HH. y operaciones","https://trello.com/templates/operations-hr","Employee Manual"
"1607097252-138","https://trello.com/templates","Productividad","https://trello.com/templates/productivity","Mise-En-Place Personal Productivity System"
"1607097208-76","https://trello.com/templates","Gestión de equipos","https://trello.com/templates/team-management","Government Program Management"
"1607097217-93","https://trello.com/templates","Asistencia","https://trello.com/templates/support","Customer Support Knowledge Base"
"1607097233-109","https://trello.com/templates","Trabajo a distancia","https://trello.com/templates/remote-work","Remote Team Meetings"
"1607097258-172","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Job Hunting Board"
"1607097283-278","https://trello.com/templates","Diseño","https://trello.com/templates/design","Photography Session Workflow Tracking"
"1607097222-99","https://trello.com/templates","Ventas","https://trello.com/templates/sales","CRM & Sales Pipeline"
"1607097208-83","https://trello.com/templates","Gestión de equipos","https://trello.com/templates/team-management","Superpowers and Kryptonite Exercise"
"1607097208-77","https://trello.com/templates","Gestión de equipos","https://trello.com/templates/team-management","KUDO Cards Wall"
"1607097268-217","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Annual Email Marketing Calendar"
"1607097242-126","https://trello.com/templates","Gestión de proyectos","https://trello.com/templates/project-management","Program Management Template"
"1607097242-129","https://trello.com/templates","Gestión de proyectos","https://trello.com/templates/project-management","Site tracker"
"1607097247-137","https://trello.com/templates","Gestión de productos","https://trello.com/templates/product-management","User Story Mapping Template"
"1607097268-231","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Medium Articles Template"
"1607097283-271","https://trello.com/templates","Diseño","https://trello.com/templates/design","Design Huddle"
"1607097208-81","https://trello.com/templates","Gestión de equipos","https://trello.com/templates/team-management","Post-Mortem Meeting Board"
"1607097233-111","https://trello.com/templates","Trabajo a distancia","https://trello.com/templates/remote-work","Mr. Rogers: “Watercooler” Video Chat Planner"
"1607097258-161","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Discover the best of  New York City in 48 hours"
"1607097252-148","https://trello.com/templates","Productividad","https://trello.com/templates/productivity","Personal (or Work) Productivity System - Know your Priorities"
"1607097273-243","https://trello.com/templates","Ingeniería","https://trello.com/templates/engineering","New Test Automation Development Project"
"1607097258-170","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Houseplant Tracking Template 🌱"
"1607097208-70","https://trello.com/templates","Gestión de equipos","https://trello.com/templates/team-management","Team Health Monitor"
"1607097268-227","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Go To Market Strategy Template"
"1607097252-140","https://trello.com/templates","Productividad","https://trello.com/templates/productivity","Life Watchers 2020"
"1607097273-244","https://trello.com/templates","Ingeniería","https://trello.com/templates/engineering","Site Reliability"
"1607097288-293","https://trello.com/templates","Negocio","https://trello.com/templates/business","OKRs"
"1607097268-228","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Incoming Requests"
"1607097233-112","https://trello.com/templates","Trabajo a distancia","https://trello.com/templates/remote-work","Remote Team Bonding Template"
"1607097258-182","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Reading List"
"1607097242-127","https://trello.com/templates","Gestión de proyectos","https://trello.com/templates/project-management","Salesforce Project Template"
"1607097258-176","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Moving Plan"
"1607097258-187","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Thank You Notes"
"1607097247-135","https://trello.com/templates","Gestión de productos","https://trello.com/templates/product-management","Shipping Planner"
"1607097268-233","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","SEO Content Creation"
"1607097283-276","https://trello.com/templates","Diseño","https://trello.com/templates/design","Interior Design Order Tracking"
"1607097252-142","https://trello.com/templates","Productividad","https://trello.com/templates/productivity","2020 Online Bullet Journal - BuJo"
"1607097258-195","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Where to next: Travel inspiration board"
"1607097268-220","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Content Collection"
"1607097278-265","https://trello.com/templates","Educación","https://trello.com/templates/education","eCourse Workflow"
"1607097258-197","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Writing A Book"
"1607097222-103","https://trello.com/templates","Ventas","https://trello.com/templates/sales","Etsy Order Fulfillment"
"1607097222-100","https://trello.com/templates","Ventas","https://trello.com/templates/sales","CRM Pipeline"
"1607097258-171","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Interview Study Tracker"
"1607097278-253","https://trello.com/templates","Educación","https://trello.com/templates/education","Teaching: Weekly Planning"
"1607097242-123","https://trello.com/templates","Gestión de proyectos","https://trello.com/templates/project-management","Ceremony Bookings"
"1607097233-110","https://trello.com/templates","Trabajo a distancia","https://trello.com/templates/remote-work","Distributed Team Brainstorming"
"1607097258-160","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Daily Tasks Planner"
"1607097278-257","https://trello.com/templates","Educación","https://trello.com/templates/education","Homeschool Timetable"
"1607097278-256","https://trello.com/templates","Educación","https://trello.com/templates/education","Montessori Inspired Planning & Homeschool Education"
"1607097263-207","https://trello.com/templates","RR. HH. y operaciones","https://trello.com/templates/operations-hr","Job Hunt"
"1607097208-71","https://trello.com/templates","Gestión de equipos","https://trello.com/templates/team-management","Working Agreements"
"1607097288-292","https://trello.com/templates","Negocio","https://trello.com/templates/business","M&A Due Diligence Template"
"1607097247-133","https://trello.com/templates","Gestión de productos","https://trello.com/templates/product-management","Fabrication Process"
"1607097273-238","https://trello.com/templates","Ingeniería","https://trello.com/templates/engineering","Software Development [Web App, iOS App, Android App]"
"1607097252-147","https://trello.com/templates","Productividad","https://trello.com/templates/productivity","Personal & Work Goals"
"1607097258-183","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Recurring Bill Tracker"
"1607097288-291","https://trello.com/templates","Negocio","https://trello.com/templates/business","EOS Level 10 Template"
"1607097278-261","https://trello.com/templates","Educación","https://trello.com/templates/education","Lesson Planning"
"1607097247-134","https://trello.com/templates","Gestión de productos","https://trello.com/templates/product-management","Product Roadmap Template"
"1607097263-204","https://trello.com/templates","RR. HH. y operaciones","https://trello.com/templates/operations-hr","Agile Talent Acquisition"
"1607097222-105","https://trello.com/templates","Ventas","https://trello.com/templates/sales","Retail Sales Pipeline"
"1607097258-154","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","4 Ls Exercise"
"1607097242-131","https://trello.com/templates","Gestión de proyectos","https://trello.com/templates/project-management","Work request and intake process"
"1607097252-141","https://trello.com/templates","Productividad","https://trello.com/templates/productivity","Marc Andreesen Productivity System"
"1607097242-124","https://trello.com/templates","Gestión de proyectos","https://trello.com/templates/project-management","Client Workflow Management"
"1607097288-286","https://trello.com/templates","Negocio","https://trello.com/templates/business","Align Your Team With V2MOM"
"1607097222-106","https://trello.com/templates","Ventas","https://trello.com/templates/sales","Sales Funnel powered by Smart Fields"
"1607097258-188","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Travel Bucket List"
"1607097288-288","https://trello.com/templates","Negocio","https://trello.com/templates/business","Business Plan"
"1607097252-139","https://trello.com/templates","Productividad","https://trello.com/templates/productivity","Weekly Planner"
"1607097242-118","https://trello.com/templates","Gestión de proyectos","https://trello.com/templates/project-management","Video Production"
"1607097283-269","https://trello.com/templates","Diseño","https://trello.com/templates/design","Artist Commissions"
